date,home_team,away_team,prob_draw,prob_home,prob_away,home_score,away_score,actual_result,odds_home,odds_draw,odds_away,status,result_source,odds_source,prediction_path
2026-06-19,Turkey,Paraguay,0.25526708364486694,0.4247746765613556,0.31995803117752075,0,1,away,2.0,3.2,3.75,ok,martj42/international_results,fotmob:4667773:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667773,outputs/predictions/2026-06-16/2026-06-19_Turkey_Paraguay/predictions.json
2026-06-19,United States,Australia,0.25669583678245544,0.3689349591732025,0.3743690848350525,2,0,home,1.53,4.33,5.75,ok,martj42/international_results,fotmob:4667774:Bet365_UK CPM:https://www.fotmob.com/match/4667774,outputs/predictions/2026-06-16/2026-06-19_United States_Australia/predictions.json
2026-06-20,Ecuador,Curaçao,0.14409060776233673,0.7869176864624023,0.06899173557758331,0,0,draw,1.14,8.0,15.0,ok,martj42/international_results,fotmob:4667779:Paddy Power_UK:https://www.fotmob.com/match/4667779,outputs/predictions/2026-06-16/2026-06-20_Ecuador_Curaçao/predictions.json
2026-06-20,Germany,Ivory Coast,0.19604985415935516,0.6327188014984131,0.17123129963874817,2,1,home,1.4,4.5,6.5,ok,martj42/international_results,fotmob:4667780:Paddy Power_UK:https://www.fotmob.com/match/4667780,outputs/predictions/2026-06-16/2026-06-20_Germany_Ivory Coast/predictions.json
2026-06-20,Netherlands,Sweden,0.19579918682575226,0.5959640741348267,0.2082369327545166,5,1,home,1.67,3.8,4.75,ok,martj42/international_results,fotmob:4667786:Paddy Power_UK:https://www.fotmob.com/match/4667786,outputs/predictions/2026-06-16/2026-06-20_Netherlands_Sweden/predictions.json
2026-06-20,Tunisia,Japan,0.19810163974761963,0.11890634894371033,0.6829918026924133,0,4,away,8.0,4.5,1.4,ok,martj42/international_results,fotmob:4667785:Sky Bet_UK:https://www.fotmob.com/match/4667785,outputs/predictions/2026-06-16/2026-06-20_Tunisia_Japan/predictions.json
2026-06-21,Belgium,Iran,0.24213050305843353,0.5051106810569763,0.2527589797973633,0,0,draw,1.36,4.5,8.5,ok,martj42/international_results,fotmob:4667793:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667793,outputs/predictions/2026-06-16/2026-06-21_Belgium_Iran/predictions.json
2026-06-21,New Zealand,Egypt,0.28357216715812683,0.33096373081207275,0.3854639232158661,1,3,away,5.5,3.5,1.62,ok,martj42/international_results,fotmob:4667792:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667792,outputs/predictions/2026-06-16/2026-06-21_New Zealand_Egypt/predictions.json
2026-06-21,Spain,Saudi Arabia,0.13314707577228546,0.8060887455940247,0.06076432019472122,4,0,home,1.1,11.0,21.0,ok,martj42/international_results,fotmob:4667801:Bet365_UK CPM:https://www.fotmob.com/match/4667801,outputs/predictions/2026-06-16/2026-06-21_Spain_Saudi Arabia/predictions.json
2026-06-21,Uruguay,Cape Verde,0.22078393399715424,0.6514779329299927,0.12773792445659637,2,2,draw,1.33,4.5,9.5,ok,martj42/international_results,fotmob:4667800:Paddy Power_UK:https://www.fotmob.com/match/4667800,outputs/predictions/2026-06-16/2026-06-21_Uruguay_Cape Verde/predictions.json
2026-06-22,Argentina,Austria,0.21987412869930267,0.6282098293304443,0.1519162356853485,2,0,home,1.4,4.2,8.0,ok,martj42/international_results,fotmob:4667815:Betfred_United Kingdom:https://www.fotmob.com/match/4667815,outputs/predictions/2026-06-16/2026-06-22_Argentina_Austria/predictions.json
2026-06-22,France,Iraq,0.17587073147296906,0.7346121072769165,0.08951746672391891,3,0,home,1.07,12.0,26.0,ok,martj42/international_results,fotmob:4667807:Bet365_UK CPM:https://www.fotmob.com/match/4667807,outputs/predictions/2026-06-16/2026-06-22_France_Iraq/predictions.json
2026-06-22,Jordan,Algeria,0.21797288954257965,0.19286762177944183,0.5891594886779785,1,2,away,7.0,4.5,1.45,ok,martj42/international_results,fotmob:4667814:Bet365_UK CPM:https://www.fotmob.com/match/4667814,outputs/predictions/2026-06-16/2026-06-22_Jordan_Algeria/predictions.json
2026-06-22,Norway,Senegal,0.27167007327079773,0.3947536051273346,0.33357667922973633,3,2,home,2.4,3.3,2.9,ok,martj42/international_results,fotmob:4667806:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667806,outputs/predictions/2026-06-16/2026-06-22_Norway_Senegal/predictions.json
2026-06-23,Colombia,DR Congo,0.1916530728340149,0.7121708989143372,0.09617607295513153,1,0,home,1.5,3.9,7.0,ok,martj42/international_results,fotmob:4667821:Bet365_UK CPM:https://www.fotmob.com/match/4667821,outputs/predictions/2026-06-16/2026-06-23_Colombia_DR Congo/predictions.json
2026-06-23,England,Ghana,0.14109724760055542,0.7979679703712463,0.06093492731451988,0,0,draw,1.15,7.5,16.0,ok,martj42/international_results,fotmob:4667828:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667828,outputs/predictions/2026-06-16/2026-06-23_England_Ghana/predictions.json
2026-06-23,Panama,Croatia,0.2084728479385376,0.17819061875343323,0.6133365631103516,0,1,away,8.0,4.5,1.36,ok,martj42/international_results,fotmob:4667827:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667827,outputs/predictions/2026-06-16/2026-06-23_Panama_Croatia/predictions.json
2026-06-23,Portugal,Uzbekistan,0.21703188121318817,0.6270904541015625,0.15587766468524933,5,0,home,1.11,9.0,20.0,ok,martj42/international_results,fotmob:4667822:Sky Bet_UK:https://www.fotmob.com/match/4667822,outputs/predictions/2026-06-16/2026-06-23_Portugal_Uzbekistan/predictions.json
2026-06-24,Bosnia and Herzegovina,Qatar,0.24103377759456635,0.4705650210380554,0.28840118646621704,3,1,home,1.36,5.0,7.0,ok,martj42/international_results,fotmob:4667762:Paddy Power_UK:https://www.fotmob.com/match/4667762,outputs/predictions/2026-06-16/2026-06-24_Bosnia and Herzegovina_Qatar/predictions.json
2026-06-24,Canada,Switzerland,0.2552220821380615,0.30303117632865906,0.4417468011379242,1,2,away,3.2,2.88,2.5,ok,martj42/international_results,fotmob:4667761:Paddy Power_UK:https://www.fotmob.com/match/4667761; reversed fixture orientation,outputs/predictions/2026-06-16/2026-06-24_Canada_Switzerland/predictions.json
2026-06-24,Mexico,Czech Republic,0.24132609367370605,0.5189234614372253,0.23975032567977905,3,0,home,1.67,4.2,4.4,ok,martj42/international_results,fotmob:4667755:Sky Bet_UK:https://www.fotmob.com/match/4667755; reversed fixture orientation,outputs/predictions/2026-06-16/2026-06-24_Mexico_Czech Republic/predictions.json
2026-06-24,Morocco,Haiti,0.18615348637104034,0.7137973308563232,0.10004927963018417,4,2,home,1.25,6.0,11.0,ok,martj42/international_results,fotmob:4667769:Sky Bet_UK:https://www.fotmob.com/match/4667769,outputs/predictions/2026-06-16/2026-06-24_Morocco_Haiti/predictions.json
2026-06-24,Scotland,Brazil,0.19868096709251404,0.14834414422512054,0.6529749035835266,0,3,away,10.0,5.0,1.29,ok,martj42/international_results,fotmob:4667768:Bet365_UK CPM:https://www.fotmob.com/match/4667768,outputs/predictions/2026-06-16/2026-06-24_Scotland_Brazil/predictions.json
2026-06-24,South Africa,South Korea,0.25068750977516174,0.19582131505012512,0.5534914135932922,1,0,home,5.5,3.6,1.65,ok,martj42/international_results,fotmob:4667756:Bet365_UK CPM:https://www.fotmob.com/match/4667756,outputs/predictions/2026-06-16/2026-06-24_South Africa_South Korea/predictions.json
2026-06-25,Curaçao,Ivory Coast,0.18737103044986725,0.12014856934547424,0.6924805045127869,0,2,away,15.0,8.0,1.15,ok,martj42/international_results,fotmob:4667782:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667782,outputs/predictions/2026-06-16/2026-06-25_Curaçao_Ivory Coast/predictions.json
2026-06-25,Ecuador,Germany,0.23874446749687195,0.2722351551055908,0.48902055621147156,2,1,home,4.33,4.0,1.7,ok,martj42/international_results,fotmob:4667781:Paddy Power_UK:https://www.fotmob.com/match/4667781,outputs/predictions/2026-06-16/2026-06-25_Ecuador_Germany/predictions.json
2026-06-25,Japan,Sweden,0.20780499279499054,0.58779376745224,0.20440146327018738,1,1,draw,2.25,3.3,3.1,ok,martj42/international_results,fotmob:4667788:Paddy Power_UK:https://www.fotmob.com/match/4667788,outputs/predictions/2026-06-16/2026-06-25_Japan_Sweden/predictions.json
2026-06-25,Paraguay,Australia,0.28048622608184814,0.27565643191337585,0.4438571631908417,0,0,draw,2.5,2.25,4.33,ok,martj42/international_results,fotmob:4667776:Paddy Power_UK:https://www.fotmob.com/match/4667776,outputs/predictions/2026-06-16/2026-06-25_Paraguay_Australia/predictions.json
2026-06-25,Tunisia,Netherlands,0.18352629244327545,0.1191994920372963,0.6972739696502686,1,3,away,16.0,11.0,1.1,ok,martj42/international_results,fotmob:4667787:Paddy Power_UK:https://www.fotmob.com/match/4667787,outputs/predictions/2026-06-16/2026-06-25_Tunisia_Netherlands/predictions.json
2026-06-25,United States,Turkey,0.2289995700120926,0.4273626506328583,0.34363794326782227,2,3,away,2.05,3.8,3.1,ok,martj42/international_results,fotmob:4667775:Betfair UK Sportsbook_UK:https://www.fotmob.com/match/4667775; reversed fixture orientation,outputs/predictions/2026-06-16/2026-06-25_United States_Turkey/predictions.json
2026-06-26,Cape Verde,Saudi Arabia,0.2998049259185791,0.3022956848144531,0.3978996276855469,0,0,draw,2.63,3.3,2.63,ok,martj42/international_results,fotmob:4667803:Betfred_United Kingdom:https://www.fotmob.com/match/4667803,outputs/predictions/2026-06-16/2026-06-26_Cape Verde_Saudi Arabia/predictions.json
2026-06-26,Egypt,Iran,0.2910725772380829,0.2669287323951721,0.4419987201690674,1,1,draw,2.5,2.63,3.4,ok,martj42/international_results,fotmob:4667795:Paddy Power_UK:https://www.fotmob.com/match/4667795,outputs/predictions/2026-06-16/2026-06-26_Egypt_Iran/predictions.json
2026-06-26,New Zealand,Belgium,0.18897758424282074,0.15354666113853455,0.6574756503105164,1,5,away,13.0,8.5,1.15,ok,martj42/international_results,fotmob:4667794:Bet365_UK CPM:https://www.fotmob.com/match/4667794,outputs/predictions/2026-06-16/2026-06-26_New Zealand_Belgium/predictions.json
2026-06-26,Norway,France,0.24728558957576752,0.3020414710044861,0.4506726861000061,1,4,away,7.5,6.0,1.3,ok,martj42/international_results,fotmob:4667808:Sky Bet_UK:https://www.fotmob.com/match/4667808,outputs/predictions/2026-06-16/2026-06-26_Norway_France/predictions.json
2026-06-26,Senegal,Iraq,0.2451760321855545,0.6127926111221313,0.1420312523841858,5,0,home,1.2,6.5,12.0,ok,martj42/international_results,fotmob:4667809:Betfred_United Kingdom:https://www.fotmob.com/match/4667809,outputs/predictions/2026-06-16/2026-06-26_Senegal_Iraq/predictions.json
2026-06-26,Uruguay,Spain,0.23382943868637085,0.19413039088249207,0.5720402002334595,0,1,away,5.5,3.5,1.65,ok,martj42/international_results,fotmob:4667802:Paddy Power_UK:https://www.fotmob.com/match/4667802,outputs/predictions/2026-06-16/2026-06-26_Uruguay_Spain/predictions.json
2026-06-27,Algeria,Austria,0.25172877311706543,0.3787976801395416,0.36947372555732727,3,3,draw,3.3,2.05,3.5,ok,martj42/international_results,fotmob:4667817:Bet365_UK CPM:https://www.fotmob.com/match/4667817,outputs/predictions/2026-06-16/2026-06-27_Algeria_Austria/predictions.json
2026-06-27,Colombia,Portugal,0.2656048834323883,0.4189486503601074,0.31544631719589233,0,0,draw,3.9,3.9,1.83,ok,martj42/international_results,fotmob:4667823:Bet365_UK CPM:https://www.fotmob.com/match/4667823,outputs/predictions/2026-06-16/2026-06-27_Colombia_Portugal/predictions.json
2026-06-27,Croatia,Ghana,0.19602951407432556,0.6729089617729187,0.13106147944927216,2,1,home,1.75,3.1,5.5,ok,martj42/international_results,fotmob:4667830:Paddy Power_UK:https://www.fotmob.com/match/4667830,outputs/predictions/2026-06-16/2026-06-27_Croatia_Ghana/predictions.json
2026-06-27,DR Congo,Uzbekistan,0.29433107376098633,0.29240113496780396,0.4132676124572754,3,1,home,1.62,3.75,5.0,ok,martj42/international_results,fotmob:4667824:Betfred_United Kingdom:https://www.fotmob.com/match/4667824,outputs/predictions/2026-06-16/2026-06-27_DR Congo_Uzbekistan/predictions.json
2026-06-27,Jordan,Argentina,0.1367945522069931,0.06211939454078674,0.8010862469673157,1,3,away,19.0,8.5,1.11,ok,martj42/international_results,fotmob:4667816:Betfred_United Kingdom:https://www.fotmob.com/match/4667816,outputs/predictions/2026-06-16/2026-06-27_Jordan_Argentina/predictions.json
2026-06-27,Panama,England,0.1569664478302002,0.0850115716457367,0.7580219507217407,0,2,away,17.0,8.5,1.13,ok,martj42/international_results,fotmob:4667829:Bet365_UK CPM:https://www.fotmob.com/match/4667829,outputs/predictions/2026-06-16/2026-06-27_Panama_England/predictions.json
2026-06-28,South Africa,Canada,0.24529339373111725,0.1715211123228073,0.583185613155365,0,1,away,4.75,3.2,1.83,ok,martj42/international_results,fotmob:4653705:Paddy Power_UK:https://www.fotmob.com/match/4653705,outputs/predictions/2026-06-28/2026-06-28_South Africa_Canada/predictions.json
2026-06-29,Brazil,Japan,0.253614604473114,0.45512422919273376,0.29126137495040894,2,1,home,1.75,3.3,4.75,ok,martj42/international_results,fotmob:4653711:Paddy Power_UK:https://www.fotmob.com/match/4653711,outputs/predictions/2026-06-28/2026-06-29_Brazil_Japan/predictions.json
