scale,date,home_team,away_team,match_index,outcome,probability,decimal_odds,full_kelly_fraction,scaled_fraction,stake,won,profit,bankroll_before_match
0.05,2026-06-21,Spain,Saudi Arabia,39,away,0.06076432019472122,21.0,0.013802536204457283,0.0006901268102228642,0.06623185992629017,False,-0.06623185992629017,95.97056503992617
0.05,2026-06-21,Uruguay,Cape Verde,40,away,0.12773792445659637,9.5,0.025118856745607713,0.0012559428372803858,0.12017035015176558,False,-0.12017035015176558,95.6813849999591
0.05,2026-06-22,Argentina,Austria,41,away,0.1519162356853485,8.0,0.03076141221182687,0.0015380706105913437,0.14697989576527962,False,-0.14697989576527962,95.56121464980734
0.05,2026-06-22,France,Iraq,42,draw,0.17587073147296906,12.0,0.1009498888796026,0.00504749444398013,0.4816028197976431,False,-0.4816028197976431,95.41423475404206
0.05,2026-06-22,France,Iraq,42,away,0.08951746672391891,26.0,0.05309816539287567,0.002654908269643784,0.25331604089023957,False,-0.25331604089023957,95.41423475404206
0.05,2026-06-22,Jordan,Algeria,43,home,0.19286762177944183,7.0,0.05834555874268214,0.002917277937134107,0.2762058793586327,False,-0.2762058793586327,94.67931589335417
0.05,2026-06-23,Colombia,DR Congo,45,home,0.7121708989143372,1.5,0.13651269674301147,0.006825634837150574,0.6443611564468862,True,0.3221805782234431,94.40311001399554
0.05,2026-06-23,England,Ghana,46,draw,0.14109724760055542,7.5,0.008958362616025485,0.0004479181308012743,0.04242917510167426,True,0.2757896381608827,94.72529059221898
0.05,2026-06-23,Panama,Croatia,47,home,0.17819061875343323,8.0,0.06078927857535226,0.0030394639287676132,0.2887523565541976,False,-0.2887523565541976,95.00108023037987
0.05,2026-06-23,Portugal,Uzbekistan,48,draw,0.21703188121318817,9.0,0.11916086636483669,0.005958043318241835,0.5643001522437769,False,-0.5643001522437769,94.71232787382567
0.05,2026-06-23,Portugal,Uzbekistan,48,away,0.15587766468524933,20.0,0.11145017335289403,0.005572508667644702,0.5277852680097005,False,-0.5277852680097005,94.71232787382567
0.05,2026-06-24,Bosnia and Herzegovina,Qatar,49,draw,0.24103377759456635,5.0,0.05129222199320793,0.0025646110996603967,0.24009951294932874,False,-0.24009951294932874,93.62024245357219
0.05,2026-06-24,Bosnia and Herzegovina,Qatar,49,away,0.28840118646621704,7.0,0.16980138421058655,0.008490069210529328,0.7948423379373639,False,-0.7948423379373639,93.62024245357219
0.05,2026-06-24,Canada,Switzerland,50,away,0.4417468011379242,2.5,0.06957800189654033,0.0034789000948270165,0.32209501104627036,True,0.48314251656940554,92.58530060268549
0.05,2026-06-24,Mexico,Czech Republic,51,draw,0.24132609367370605,4.2,0.004240497946739197,0.00021202489733695984,0.019732827097670706,False,-0.019732827097670706,93.0684431192549
0.05,2026-06-24,Mexico,Czech Republic,51,away,0.23975032567977905,4.4,0.016147480291478826,0.0008073740145739414,0.07514104255133934,False,-0.07514104255133934,93.0684431192549
0.05,2026-06-24,Morocco,Haiti,52,draw,0.18615348637104034,6.0,0.023384183645248413,0.0011692091822624207,0.10870555087435024,False,-0.10870555087435024,92.97356924960589
0.05,2026-06-24,Morocco,Haiti,52,away,0.10004927963018417,11.0,0.01005420759320259,0.0005027103796601296,0.046738778295826726,False,-0.046738778295826726,92.97356924960589
0.05,2026-06-24,Scotland,Brazil,53,home,0.14834414422512054,10.0,0.05371571580568949,0.0026857857902844746,0.2492896009921555,False,-0.2492896009921555,92.81812492043571
0.05,2026-06-24,South Africa,South Korea,54,home,0.19582131505012512,5.5,0.017114940616819594,0.0008557470308409797,0.07921550597302143,True,0.35646977687859643,92.56883531944355
0.05,2026-06-25,Curaçao,Ivory Coast,55,draw,0.18737103044986725,8.0,0.07128117765699114,0.0035640588828495575,0.3311912590700522,False,-0.3311912590700522,92.92530509632215
0.05,2026-06-25,Curaçao,Ivory Coast,55,home,0.12014856934547424,15.0,0.057302038584436686,0.0028651019292218346,0.26624047090500014,False,-0.26624047090500014,92.92530509632215
0.05,2026-06-25,Ecuador,Germany,56,home,0.2722351551055908,4.33,0.05368715363579827,0.0026843576817899137,0.24784103611428018,True,0.8253106502605531,92.32787336634709
0.05,2026-06-25,Japan,Sweden,57,home,0.58779376745224,2.25,0.25802878141403196,0.012901439070701598,1.2018101278321174,False,-1.2018101278321174,93.15318401660764
0.05,2026-06-25,Paraguay,Australia,58,away,0.4438571631908417,4.33,0.2768473022871905,0.013842365114359526,1.2728244901354158,False,-1.2728244901354158,91.95137388877552
0.05,2026-06-25,Tunisia,Netherlands,59,draw,0.18352629244327545,11.0,0.101878921687603,0.005093946084380151,0.4619116416464748,False,-0.4619116416464748,90.6785493986401
0.05,2026-06-25,Tunisia,Netherlands,59,home,0.1191994920372963,16.0,0.06047945817311605,0.0030239729086558027,0.2742094767776946,False,-0.2742094767776946,90.6785493986401
0.05,2026-06-25,United States,Turkey,60,away,0.34363794326782227,3.1,0.031084582919166222,0.0015542291459583113,0.13979114349137667,True,0.293561401331891,89.94242828021594
0.05,2026-06-26,Cape Verde,Saudi Arabia,61,away,0.3978996276855469,2.63,0.028512896204287232,0.0014256448102143617,0.12864447038405535,False,-0.12864447038405535,90.23598968154782
0.05,2026-06-26,Egypt,Iran,62,away,0.4419987201690674,3.4,0.20949818690617877,0.010474909345308939,0.9438662724333979,False,-0.9438662724333979,90.10734521116376
0.05,2026-06-26,New Zealand,Belgium,63,draw,0.18897758424282074,8.5,0.0808412621418635,0.004042063107093176,0.3604044087183214,False,-0.3604044087183214,89.16347893873036
0.05,2026-06-26,New Zealand,Belgium,63,home,0.15354666113853455,13.0,0.08300888290007909,0.004150444145003955,0.37006803910943686,False,-0.37006803910943686,89.16347893873036
0.05,2026-06-26,Norway,France,64,draw,0.24728558957576752,6.0,0.09674270749092102,0.0048371353745460515,0.42776242397460557,False,-0.42776242397460557,88.4330064909026
0.05,2026-06-26,Norway,France,64,home,0.3020414710044861,7.5,0.19466323577440703,0.009733161788720352,0.860732759638912,False,-0.860732759638912,88.4330064909026
0.05,2026-06-26,Senegal,Iraq,65,draw,0.2451760321855545,6.5,0.10793531076474623,0.005396765538237312,0.4702984954697095,False,-0.4702984954697095,87.14451130728908
0.05,2026-06-26,Senegal,Iraq,65,away,0.1420312523841858,12.0,0.06403409351002086,0.0032017046755010432,0.27901098929680096,False,-0.27901098929680096,87.14451130728908
0.05,2026-06-26,Uruguay,Spain,66,home,0.19413039088249207,5.5,0.015048255523045858,0.000752412776152293,0.06500485364952184,False,-0.06500485364952184,86.39520182252257
0.05,2026-06-27,Algeria,Austria,67,home,0.3787976801395416,3.3,0.10870971498282056,0.005435485749141028,0.4692465553448474,False,-0.4692465553448474,86.33019696887304
0.05,2026-06-27,Algeria,Austria,67,away,0.36947372555732727,3.5,0.11726321578025818,0.00586316078901291,0.5061678257756576,False,-0.5061678257756576,86.33019696887304
0.05,2026-06-27,Colombia,Portugal,68,draw,0.2656048834323883,3.9,0.012365188064246328,0.0006182594032123164,0.0527713969440209,True,0.1530370511376606,85.35478258775254
0.05,2026-06-27,Colombia,Portugal,68,home,0.4189486503601074,3.9,0.2185861160015238,0.010929305800076191,0.9328685204005661,False,-0.9328685204005661,85.35478258775254
0.05,2026-06-27,Croatia,Ghana,69,home,0.6729089617729187,1.75,0.23678757747014365,0.011839378873507183,1.001314889500149,True,0.7509861671251117,84.57495111848964
0.05,2026-06-27,DR Congo,Uzbekistan,70,draw,0.29433107376098633,3.75,0.03772419149225408,0.0018862095746127042,0.16094259987092965,False,-0.16094259987092965,85.32593728561474
0.05,2026-06-27,DR Congo,Uzbekistan,70,away,0.4132676124572754,5.0,0.26658451557159424,0.013329225778579713,1.137328682848892,False,-1.137328682848892,85.32593728561474
0.05,2026-06-27,Jordan,Argentina,71,draw,0.1367945522069931,8.5,0.02170049250125885,0.0010850246250629426,0.09117208679970522,False,-0.09117208679970522,84.02766600289492
0.05,2026-06-27,Jordan,Argentina,71,home,0.06211939454078674,19.0,0.01001491645971934,0.000500745822985967,0.04207650276620957,False,-0.04207650276620957,84.02766600289492
0.05,2026-06-27,Panama,England,72,draw,0.1569664478302002,8.5,0.04456197420756022,0.002228098710378011,0.18692504324655293,False,-0.18692504324655293,83.89441741332901
0.05,2026-06-27,Panama,England,72,home,0.0850115716457367,17.0,0.027824794873595238,0.001391239743679762,0.11671724777828281,False,-0.11671724777828281,83.89441741332901
0.05,2026-06-28,South Africa,Canada,73,away,0.583185613155365,1.83,0.08099960490881682,0.004049980245440841,0.3385409879464196,True,0.28098901999552833,83.59077512230418
0.05,2026-06-29,Brazil,Japan,74,away,0.29126137495040894,4.75,0.10226440827051798,0.005113220413525899,0.4288548165308364,False,-0.4288548165308364,83.87176414229971
0.05,2026-06-29,Germany,Paraguay,75,draw,0.2099262923002243,5.0,0.01240786537528038,0.0006203932687640191,0.05176741927179341,True,0.20706967708717364,83.44290932576888
0.05,2026-06-29,Germany,Paraguay,75,away,0.18991191685199738,10.0,0.09990212983555263,0.004995106491777632,0.4168062180659604,False,-0.4168062180659604,83.44290932576888
0.05,2026-06-29,Netherlands,Morocco,76,home,0.3804740905761719,19.0,0.3460559844970703,0.017302799224853515,1.4401668775427647,False,-1.4401668775427647,83.2331727847901
0.05,2026-06-29,Netherlands,Morocco,76,away,0.34435349702835083,21.0,0.31157117187976835,0.015578558593988419,1.2966528591914148,False,-1.2966528591914148,83.2331727847901
0.05,2026-06-30,France,Sweden,77,away,0.13851666450500488,11.0,0.052368330955505374,0.002618416547775269,0.21077298285658982,False,-0.21077298285658982,80.49635304805592
0.05,2026-06-30,Ivory Coast,Norway,78,away,0.5131056904792786,2.1,0.07047450000589543,0.0035237250002947717,0.2829043056389104,True,0.31119473620280147,80.28558006519933
0.05,2026-06-30,Mexico,Ecuador,79,away,0.33014968037605286,4.2,0.12082145549356937,0.006041072774678469,0.4868909819796421,False,-0.4868909819796421,80.59677480140213
0.05,2026-07-01,Belgium,Senegal,80,away,0.29568353295326233,4.0,0.06091137727101644,0.0030455688635508222,0.24398016782310697,False,-0.24398016782310697,80.10988381942249
0.05,2026-07-01,England,DR Congo,81,draw,0.2046309858560562,5.0,0.005788732320070267,0.00028943661600351335,0.023116116886981564,False,-0.023116116886981564,79.86590365159938
0.05,2026-07-01,England,DR Congo,81,away,0.1036149337887764,13.0,0.02891617827117443,0.0014458089135587215,0.11547083538890443,False,-0.11547083538890443,79.86590365159938
0.05,2026-07-01,United States,Bosnia and Herzegovina,82,draw,0.18591991066932678,51.0,0.1696383088827133,0.008481915444135665,0.6762403588314873,False,-0.6762403588314873,79.7273166993235
0.05,2026-07-01,United States,Bosnia and Herzegovina,82,away,0.14806018769741058,501.0,0.1463563080728054,0.00731781540364027,0.5834297862332156,False,-0.5834297862332156,79.7273166993235
0.1,2026-06-11,Mexico,South Africa,1,draw,0.2373199611902237,4.33,0.008286916502603197,0.0008286916502603198,0.08286916502603198,False,-0.08286916502603198,100.0
0.1,2026-06-11,Mexico,South Africa,1,away,0.1528087854385376,8.5,0.03984995683034261,0.003984995683034262,0.3984995683034262,False,-0.3984995683034262,100.0
0.1,2026-06-11,South Korea,Czech Republic,2,home,0.41847482323646545,2.5,0.030791372060775757,0.003079137206077576,0.3064315202311204,True,0.4596472803466806,99.51863126667054
0.1,2026-06-12,Canada,Bosnia and Herzegovina,3,home,0.6242932677268982,1.75,0.12335095802942912,0.012335095802942913,1.2332416440907696,False,-1.2332416440907696,99.97827854701723
0.1,2026-06-12,United States,Paraguay,4,away,0.33034729957580566,4.0,0.10712973276774089,0.01071297327677409,1.0578529415551226,False,-1.0578529415551226,98.74503690292646
0.1,2026-06-13,Australia,Turkey,5,home,0.37933671474456787,5.0,0.22417089343070984,0.022417089343070986,2.1898623305350724,True,8.75944932214029,97.68718396137133
0.1,2026-06-13,Brazil,Morocco,6,draw,0.29163044691085815,3.75,0.03404151851480657,0.0034041518514806575,0.36236050377594864,True,0.9964913853838587,106.44663328351162
0.1,2026-06-13,Brazil,Morocco,6,away,0.28049856424331665,5.5,0.12060935629738702,0.012060935629738702,1.2838459920348348,False,-1.2838459920348348,106.44663328351162
0.1,2026-06-13,Haiti,Scotland,7,home,0.2152220606803894,5.25,0.030568427899304557,0.003056842789930456,0.3245122256075794,False,-0.3245122256075794,106.15927867686064
0.1,2026-06-14,Germany,Curaçao,9,draw,0.07474882900714874,20.0,0.026051398954893414,0.0026051398954893418,0.2757143724119563,False,-0.2757143724119563,105.83476645125306
0.1,2026-06-14,Germany,Curaçao,9,away,0.03823022544384003,36.0,0.010751089027949742,0.0010751089027949742,0.11378389963696901,False,-0.11378389963696901,105.83476645125306
0.1,2026-06-14,Ivory Coast,Ecuador,10,away,0.4943024218082428,2.5,0.157170703013738,0.0157170703013738,1.657290692919765,False,-1.657290692919765,105.44526817920413
0.1,2026-06-14,Netherlands,Japan,11,away,0.38650622963905334,3.75,0.16341758587143637,0.016341758587143637,1.6960780723287583,False,-1.6960780723287583,103.78797748628438
0.1,2026-06-14,Sweden,Tunisia,12,away,0.29885655641555786,4.6,0.1040944887532128,0.01040944887532128,1.0627204075340135,False,-1.0627204075340135,102.09189941395562
0.1,2026-06-15,Belgium,Egypt,13,away,0.16413870453834534,6.5,0.012163923545317217,0.0012163923545317219,0.12289112092802798,False,-0.12289112092802798,101.0291790064216
0.1,2026-06-15,Iran,New Zealand,14,away,0.23917384445667267,4.5,0.021794942872864858,0.002179494287286486,0.21992467799771878,False,-0.21992467799771878,100.90628788549357
0.1,2026-06-15,Saudi Arabia,Uruguay,15,home,0.1457139402627945,7.5,0.014285315687839802,0.0014285315687839802,0.14383364838795767,False,-0.14383364838795767,100.68636320749584
0.1,2026-06-15,Spain,Cape Verde,16,draw,0.08422312140464783,13.0,0.007908381521701813,0.0007908381521701813,0.07951286829104072,True,0.9541544194924887,100.54252955910789
0.1,2026-06-16,Austria,Jordan,18,draw,0.2239833027124405,4.75,0.017045516769091287,0.001704551676909129,0.17300634287643918,False,-0.17300634287643918,101.49668397860037
0.1,2026-06-16,Austria,Jordan,18,away,0.19757866859436035,8.0,0.08294704982212611,0.008294704982212612,0.8418850502753554,False,-0.8418850502753554,101.49668397860037
0.1,2026-06-16,France,Senegal,19,draw,0.2706391513347626,4.5,0.062250337430409024,0.006225033743040903,0.6255025494056545,False,-0.6255025494056545,100.48179258544857
0.1,2026-06-16,France,Senegal,19,away,0.2668939232826233,6.5,0.13360190933400934,0.013360190933400934,1.3424559342719833,False,-1.3424559342719833,100.48179258544857
0.1,2026-06-16,Iraq,Norway,20,draw,0.19984084367752075,6.5,0.05435736070979725,0.005435736070979726,0.5354952015175088,False,-0.5354952015175088,98.51383410177094
0.1,2026-06-16,Iraq,Norway,20,home,0.12237484008073807,13.0,0.04923941008746624,0.004923941008746624,0.4850763076625716,False,-0.4850763076625716,98.51383410177094
0.1,2026-06-17,England,Croatia,21,away,0.21437227725982666,5.5,0.03978833887312147,0.0039788338873121476,0.38790949698802224,False,-0.38790949698802224,97.49326259259085
0.1,2026-06-17,Ghana,Panama,22,away,0.4496065378189087,3.2,0.19942769137295815,0.019942769137295816,1.936549638781201,False,-1.936549638781201,97.10535309560284
0.1,2026-06-17,Portugal,DR Congo,23,draw,0.19928725063800812,5.25,0.010884250788127674,0.0010884250788127674,0.10358411240300786,True,0.4402324777127834,95.16880345682164
0.1,2026-06-17,Portugal,DR Congo,23,away,0.11832595616579056,11.0,0.030158551782369612,0.0030158551782369612,0.28701532871187113,False,-0.28701532871187113,95.16880345682164
